2015-09-22 11:37:17,259 [main] INFO  marytts.main Mary starting up...
2015-09-22 11:37:17,262 [main] INFO  marytts.main Specification version 5.1.2
2015-09-22 11:37:17,263 [main] INFO  marytts.main Implementation version unknown
2015-09-22 11:37:17,263 [main] INFO  marytts.main Running on a Java 1.8.0_51 implementation by Oracle Corporation, on a Mac OS X platform (x86_64, 10.9.5)
2015-09-22 11:37:17,446 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.JTokeniser'
2015-09-22 11:37:17,452 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.Preprocess'
2015-09-22 11:37:17,453 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.OpenNLPPosTagger(de,de.pos)'
2015-09-22 11:37:17,454 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.JPhonemiser'
2015-09-22 11:37:17,456 [main] INFO  marytts.JPhonemiser_de User dictionary './user-dictionaries/userdict-de.txt' for locale 'de' does not exist. Ignoring.
2015-09-22 11:37:17,490 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.Prosody'
2015-09-22 11:37:17,496 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.Postlex'
2015-09-22 11:37:17,498 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SimplePhoneme2AP(de)'
2015-09-22 11:37:17,499 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.JTokeniser'
2015-09-22 11:37:17,500 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.FreeTTSTokenToWords'
2015-09-22 11:37:17,506 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_US.)'
2015-09-22 11:37:17,506 [main] INFO  marytts.JPhonemiser User dictionary './user-dictionaries/userdict-en_US.txt' for locale 'en_US' does not exist. Ignoring.
2015-09-22 11:37:17,537 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_GB.)'
2015-09-22 11:37:17,538 [main] INFO  marytts.JPhonemiser User dictionary './user-dictionaries/userdict-en_GB.txt' for locale 'en_GB' does not exist. Ignoring.
2015-09-22 11:37:17,576 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Prosody'
2015-09-22 11:37:17,577 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SimplePhoneme2AP(en_US)'
2015-09-22 11:37:17,577 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Utt2XMLWordsEn'
2015-09-22 11:37:17,580 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.XML2UttTokensEn'
2015-09-22 11:37:17,585 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.PronunciationModel'
2015-09-22 11:37:17,586 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.OpenNLPPosTagger(en,en.pos)'
2015-09-22 11:37:17,587 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.Synthesis'
2015-09-22 11:37:17,588 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TextToMaryXML'
2015-09-22 11:37:17,589 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SableParser'
2015-09-22 11:37:17,590 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SSMLParser'
2015-09-22 11:37:17,591 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.APMLParser'
2015-09-22 11:37:17,592 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.EmotionmlParser'
2015-09-22 11:37:17,593 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JTokeniser'
2015-09-22 11:37:17,593 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.DummyTokens2Words'
2015-09-22 11:37:17,593 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.ProsodyGeneric'
2015-09-22 11:37:17,593 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PronunciationModel'
2015-09-22 11:37:17,593 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TargetFeatureLister'
2015-09-22 11:37:17,594 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HalfPhoneTargetFeatureLister'
2015-09-22 11:37:17,595 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.AcousticModeller'
2015-09-22 11:37:17,596 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedAcoustparamsExtractor'
2015-09-22 11:37:17,597 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedDurationsExtractor'
2015-09-22 11:37:17,597 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HTSEngine'
